Alger County,, Glauconite, Pyrite, Quartz,Thomsonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson County,, Aragonite, Brookite, Calcite,Dolomite, Glauconite, Goethite,Marcasite, Pyrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalamazoo County,, Anhydrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalkaska County,, Apatite, Fluorite, Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent County,, Anhydrite, Calcite, Celestite, Copper,Diamond, Gold, Gypsum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keweenaw County,, Albite, Algodonite,Almite, Analcite, Anatase, esine, Anhydrite,Ankerite, Annabergite, Apatite, Apophyllite,Atacamite, Augite, Azurite, Babingtonite,Barite,Bornite, Braunite, Brochantite, Bytownite,Calciovolborthite, Calcite, Chalcocite,Chalcopyrite,Chamosite, Chloanthite, Chlorite, Chloritoid,Chrysocolla, Clinozoisite,Copper, Covellite, Cuprite,Datolite, Delessite, Diabantite, Digenite, Diopside,Djurleite,Dolomite, Domeykite, Epidote, Erythrite,Faujasite, Fluorite, Freirinite, Fuchsitep,Galena,Guerinite, Gypsum, Hematite, Heulite,Hollite, Hornblende, Hypersthene, Iddingsite,Ilmenite, Julgoldite, Kamiokite, Kaolinite,Labradorite, Labradorite, Langite, Laumontite,Lavendulan, Leonhardite, Leucoxene, Magnetite,Malachite, Manganite, Maucherite,Mesolite,Microcline, Muscovite, Natrolite, Neltnerite, Niccolite,Olivine, Orientite,Orthoclase, Pararammelsbergite,Patricianite, Pectolite, Pennine, Pharmacolite,Picropharmacolite, Pigeonite, Posnjakite, Prehnite,Prochlorite, Pumpellyite, Pyrite,Pyrolusite, Quartz,Rammelsbergite, Rauenthalite, Rhodochrosite,Sanidine, Saponite, Silver,Smaltite, Sphalerite,Stilbite, Tenorite, Thomsonite, Thuringite, Trichalcite,Tyrolite, Vermiculite,Vladimirite, Wollastonite,Xonotlite, Zircon, Zonochlorite,,,,,,,,,,,,,,,,,,,,,,,,
Leelanau County,, Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livingston County,, Gold, Graphite, Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luce County,, Quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mackinac County,, Dolomite, Gypsum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macomb County,, Anhydrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
